date,vaccgroup_zh,ncumul_registered,ncumul_firstvacc,ncumul_secondvacc
NA,A,85610,2,0
NA,B,6615,0,0
NA,C,35915,4,1
NA,D,23388,2,0
NA,E,10886,0,0
NA,F,4399,1,0
NA,G,32324,2,1
NA,H,605,0,0
NA,I,688,0,0
NA,K,692,0,0
NA,L,452,0,0
NA,M,1627,2,0
NA,N,970,1,0
NA,O,30,0,0
NA,P,0,0,0
NA,Q,0,0,0
NA,R,2,0,0
NA,S,0,0,0
NA,T,0,0,0
NA,NA,47,0,0
2021-01-04,A,85610,68,0
2021-01-04,B,6615,0,0
2021-01-04,C,35915,8,1
2021-01-04,D,23388,2,0
2021-01-04,E,10886,0,0
2021-01-04,F,4399,1,0
2021-01-04,G,32324,2,1
2021-01-04,H,605,0,0
2021-01-04,I,688,0,0
2021-01-04,K,692,0,0
2021-01-04,L,452,0,0
2021-01-04,M,1627,9,0
2021-01-04,N,970,4,0
2021-01-04,O,30,0,0
2021-01-04,P,0,0,0
2021-01-04,Q,0,0,0
2021-01-04,R,2,0,0
2021-01-04,S,0,0,0
2021-01-04,T,0,0,0
2021-01-04,NA,47,0,0
2021-01-05,A,85610,298,0
2021-01-05,B,6615,77,0
2021-01-05,C,35915,80,1
2021-01-05,D,23388,2,0
2021-01-05,E,10886,2,0
2021-01-05,F,4399,2,0
2021-01-05,G,32324,4,1
2021-01-05,H,605,0,0
2021-01-05,I,688,0,0
2021-01-05,K,692,0,0
2021-01-05,L,452,0,0
2021-01-05,M,1627,15,0
2021-01-05,N,970,12,0
2021-01-05,O,30,0,0
2021-01-05,P,0,0,0
2021-01-05,Q,0,0,0
2021-01-05,R,2,0,0
2021-01-05,S,0,0,0
2021-01-05,T,0,0,0
2021-01-05,NA,47,0,0
2021-01-06,A,85610,550,0
2021-01-06,B,6615,151,0
2021-01-06,C,35915,139,1
2021-01-06,D,23388,3,0
2021-01-06,E,10886,5,0
2021-01-06,F,4399,5,0
2021-01-06,G,32324,7,1
2021-01-06,H,605,0,0
2021-01-06,I,688,0,0
2021-01-06,K,692,0,0
2021-01-06,L,452,0,0
2021-01-06,M,1627,21,0
2021-01-06,N,970,17,0
2021-01-06,O,30,0,0
2021-01-06,P,0,0,0
2021-01-06,Q,0,0,0
2021-01-06,R,2,0,0
2021-01-06,S,0,0,0
2021-01-06,T,0,0,0
2021-01-06,NA,47,0,0
2021-01-07,A,85610,811,0
2021-01-07,B,6615,214,0
2021-01-07,C,35915,199,1
2021-01-07,D,23388,3,0
2021-01-07,E,10886,6,0
2021-01-07,F,4399,5,0
2021-01-07,G,32324,8,1
2021-01-07,H,605,0,0
2021-01-07,I,688,0,0
2021-01-07,K,692,0,0
2021-01-07,L,452,0,0
2021-01-07,M,1627,30,0
2021-01-07,N,970,21,0
2021-01-07,O,30,0,0
2021-01-07,P,0,0,0
2021-01-07,Q,0,0,0
2021-01-07,R,2,0,0
2021-01-07,S,0,0,0
2021-01-07,T,0,0,0
2021-01-07,NA,47,0,0
2021-01-08,A,85610,1061,0
2021-01-08,B,6615,265,0
2021-01-08,C,35915,274,1
2021-01-08,D,23388,5,0
2021-01-08,E,10886,7,0
2021-01-08,F,4399,6,0
2021-01-08,G,32324,8,1
2021-01-08,H,605,0,0
2021-01-08,I,688,0,0
2021-01-08,K,692,0,0
2021-01-08,L,452,0,0
2021-01-08,M,1627,43,0
2021-01-08,N,970,24,0
2021-01-08,O,30,0,0
2021-01-08,P,0,0,0
2021-01-08,Q,0,0,0
2021-01-08,R,2,0,0
2021-01-08,S,0,0,0
2021-01-08,T,0,0,0
