date,ageclass,gender,ncumul_firstvacc,ncumul_secondvacc
NA,0-9,d,0,0
NA,0-9,f,0,0
NA,0-9,m,0,0
NA,10-19,d,0,0
NA,10-19,f,0,0
NA,10-19,m,0,0
NA,20-29,d,0,0
NA,20-29,f,0,0
NA,20-29,m,0,0
NA,30-39,d,0,0
NA,30-39,f,1,0
NA,30-39,m,0,0
NA,40-49,d,0,0
NA,40-49,f,1,0
NA,40-49,m,1,0
NA,50-59,d,0,0
NA,50-59,f,3,1
NA,50-59,m,1,0
NA,60-69,d,0,0
NA,60-69,f,2,1
NA,60-69,m,2,0
NA,70-79,d,0,0
NA,70-79,f,0,0
NA,70-79,m,1,0
NA,80+,d,0,0
NA,80+,f,2,0
NA,80+,m,0,0
NA,NA,d,0,0
NA,NA,f,0,0
NA,NA,m,0,0
2021-01-04,0-9,d,0,0
2021-01-04,0-9,f,0,0
2021-01-04,0-9,m,0,0
2021-01-04,10-19,d,0,0
2021-01-04,10-19,f,0,0
2021-01-04,10-19,m,0,0
2021-01-04,20-29,d,0,0
2021-01-04,20-29,f,0,0
2021-01-04,20-29,m,1,0
2021-01-04,30-39,d,0,0
2021-01-04,30-39,f,1,0
2021-01-04,30-39,m,0,0
2021-01-04,40-49,d,0,0
2021-01-04,40-49,f,2,0
2021-01-04,40-49,m,2,0
2021-01-04,50-59,d,0,0
2021-01-04,50-59,f,7,1
2021-01-04,50-59,m,1,0
2021-01-04,60-69,d,0,0
2021-01-04,60-69,f,5,1
2021-01-04,60-69,m,5,0
2021-01-04,70-79,d,0,0
2021-01-04,70-79,f,3,0
2021-01-04,70-79,m,4,0
2021-01-04,80+,d,0,0
2021-01-04,80+,f,34,0
2021-01-04,80+,m,29,0
2021-01-04,NA,d,0,0
2021-01-04,NA,f,0,0
2021-01-04,NA,m,0,0
2021-01-05,0-9,d,0,0
2021-01-05,0-9,f,0,0
2021-01-05,0-9,m,0,0
2021-01-05,10-19,d,0,0
2021-01-05,10-19,f,2,0
2021-01-05,10-19,m,0,0
2021-01-05,20-29,d,0,0
2021-01-05,20-29,f,1,0
2021-01-05,20-29,m,4,0
2021-01-05,30-39,d,0,0
2021-01-05,30-39,f,8,0
2021-01-05,30-39,m,9,0
2021-01-05,40-49,d,0,0
2021-01-05,40-49,f,15,0
2021-01-05,40-49,m,14,0
2021-01-05,50-59,d,0,0
2021-01-05,50-59,f,15,1
2021-01-05,50-59,m,16,0
2021-01-05,60-69,d,0,0
2021-01-05,60-69,f,26,1
2021-01-05,60-69,m,44,0
2021-01-05,70-79,d,0,0
2021-01-05,70-79,f,30,0
2021-01-05,70-79,m,68,0
2021-01-05,80+,d,0,0
2021-01-05,80+,f,114,0
2021-01-05,80+,m,126,0
2021-01-05,NA,d,0,0
2021-01-05,NA,f,0,0
2021-01-05,NA,m,0,0
2021-01-06,0-9,d,0,0
2021-01-06,0-9,f,0,0
2021-01-06,0-9,m,0,0
2021-01-06,10-19,d,0,0
2021-01-06,10-19,f,2,0
2021-01-06,10-19,m,0,0
2021-01-06,20-29,d,0,0
2021-01-06,20-29,f,3,0
2021-01-06,20-29,m,11,0
2021-01-06,30-39,d,0,0
2021-01-06,30-39,f,13,0
2021-01-06,30-39,m,17,0
2021-01-06,40-49,d,0,0
2021-01-06,40-49,f,28,0
2021-01-06,40-49,m,22,0
2021-01-06,50-59,d,0,0
2021-01-06,50-59,f,22,1
2021-01-06,50-59,m,40,0
2021-01-06,60-69,d,0,0
2021-01-06,60-69,f,47,1
2021-01-06,60-69,m,68,0
2021-01-06,70-79,d,0,0
2021-01-06,70-79,f,67,0
2021-01-06,70-79,m,128,0
2021-01-06,80+,d,0,0
2021-01-06,80+,f,211,0
2021-01-06,80+,m,219,0
2021-01-06,NA,d,0,0
2021-01-06,NA,f,0,0
2021-01-06,NA,m,0,0
2021-01-07,0-9,d,0,0
2021-01-07,0-9,f,0,0
2021-01-07,0-9,m,0,0
2021-01-07,10-19,d,0,0
2021-01-07,10-19,f,2,0
2021-01-07,10-19,m,0,0
2021-01-07,20-29,d,0,0
2021-01-07,20-29,f,6,0
2021-01-07,20-29,m,11,0
2021-01-07,30-39,d,0,0
2021-01-07,30-39,f,21,0
2021-01-07,30-39,m,22,0
2021-01-07,40-49,d,0,0
2021-01-07,40-49,f,34,0
2021-01-07,40-49,m,37,0
2021-01-07,50-59,d,0,0
2021-01-07,50-59,f,32,1
2021-01-07,50-59,m,54,0
2021-01-07,60-69,d,0,0
2021-01-07,60-69,f,62,1
2021-01-07,60-69,m,96,0
2021-01-07,70-79,d,0,0
2021-01-07,70-79,f,107,0
2021-01-07,70-79,m,184,0
2021-01-07,80+,d,0,0
2021-01-07,80+,f,305,0
2021-01-07,80+,m,324,0
2021-01-07,NA,d,0,0
2021-01-07,NA,f,0,0
2021-01-07,NA,m,0,0
2021-01-08,0-9,d,0,0
2021-01-08,0-9,f,0,0
2021-01-08,0-9,m,0,0
2021-01-08,10-19,d,0,0
2021-01-08,10-19,f,2,0
2021-01-08,10-19,m,0,0
2021-01-08,20-29,d,0,0
2021-01-08,20-29,f,10,0
2021-01-08,20-29,m,13,0
2021-01-08,30-39,d,0,0
2021-01-08,30-39,f,25,0
2021-01-08,30-39,m,25,0
2021-01-08,40-49,d,0,0
2021-01-08,40-49,f,44,0
2021-01-08,40-49,m,43,0
2021-01-08,50-59,d,0,0
2021-01-08,50-59,f,46,1
2021-01-08,50-59,m,69,0
2021-01-08,60-69,d,0,0
2021-01-08,60-69,f,80,1
2021-01-08,60-69,m,125,0
2021-01-08,70-79,d,0,0
2021-01-08,70-79,f,147,0
2021-01-08,70-79,m,228,0
2021-01-08,80+,d,0,0
2021-01-08,80+,f,413,0
2021-01-08,80+,m,423,0
2021-01-08,NA,d,0,0
2021-01-08,NA,f,0,0
2021-01-08,NA,m,0,0
2021-01-09,0-9,d,0,0
2021-01-09,0-9,f,0,0
2021-01-09,0-9,m,0,0
2021-01-09,10-19,d,0,0
2021-01-09,10-19,f,2,0
2021-01-09,10-19,m,0,0
2021-01-09,20-29,d,0,0
2021-01-09,20-29,f,12,0
2021-01-09,20-29,m,14,0
2021-01-09,30-39,d,0,0
2021-01-09,30-39,f,30,0
2021-01-09,30-39,m,27,0
2021-01-09,40-49,d,0,0
2021-01-09,40-49,f,46,0
2021-01-09,40-49,m,45,0
2021-01-09,50-59,d,0,0
2021-01-09,50-59,f,55,1
2021-01-09,50-59,m,84,0
2021-01-09,60-69,d,0,0
2021-01-09,60-69,f,93,1
2021-01-09,60-69,m,138,0
2021-01-09,70-79,d,0,0
2021-01-09,70-79,f,197,0
2021-01-09,70-79,m,293,0
2021-01-09,80+,d,0,0
2021-01-09,80+,f,453,0
2021-01-09,80+,m,469,0
2021-01-09,NA,d,0,0
2021-01-09,NA,f,0,0
2021-01-09,NA,m,0,0
2021-01-10,0-9,d,0,0
2021-01-10,0-9,f,0,0
2021-01-10,0-9,m,0,0
2021-01-10,10-19,d,0,0
2021-01-10,10-19,f,2,0
2021-01-10,10-19,m,0,0
2021-01-10,20-29,d,0,0
2021-01-10,20-29,f,12,0
2021-01-10,20-29,m,14,0
2021-01-10,30-39,d,0,0
2021-01-10,30-39,f,30,0
2021-01-10,30-39,m,27,0
2021-01-10,40-49,d,0,0
2021-01-10,40-49,f,46,0
2021-01-10,40-49,m,45,0
2021-01-10,50-59,d,0,0
2021-01-10,50-59,f,55,1
2021-01-10,50-59,m,84,0
2021-01-10,60-69,d,0,0
2021-01-10,60-69,f,93,1
2021-01-10,60-69,m,138,0
2021-01-10,70-79,d,0,0
2021-01-10,70-79,f,197,0
2021-01-10,70-79,m,293,0
2021-01-10,80+,d,0,0
2021-01-10,80+,f,453,0
2021-01-10,80+,m,469,0
2021-01-10,NA,d,0,0
2021-01-10,NA,f,0,0
2021-01-10,NA,m,0,0
2021-01-11,0-9,d,0,0
2021-01-11,0-9,f,0,0
2021-01-11,0-9,m,0,0
