date,ageclass,gender,vacc_status,nCumul
2021-01-18,0-9,d,atLeastOneDose,0
2021-01-18,0-9,d,completedBasicImmu,0
2021-01-18,0-9,d,booster,0
2021-01-18,0-9,f,atLeastOneDose,0
2021-01-18,0-9,f,completedBasicImmu,0
2021-01-18,0-9,f,booster,0
2021-01-18,0-9,m,atLeastOneDose,0
2021-01-18,0-9,m,completedBasicImmu,0
2021-01-18,0-9,m,booster,0
2021-01-18,0-9,NA,atLeastOneDose,0
2021-01-18,0-9,NA,completedBasicImmu,0
2021-01-18,0-9,NA,booster,0
2021-01-18,10-19,d,atLeastOneDose,0
2021-01-18,10-19,d,completedBasicImmu,0
2021-01-18,10-19,d,booster,0
2021-01-18,10-19,f,atLeastOneDose,0
2021-01-18,10-19,f,completedBasicImmu,0
2021-01-18,10-19,f,booster,0
2021-01-18,10-19,m,atLeastOneDose,0
2021-01-18,10-19,m,completedBasicImmu,0
2021-01-18,10-19,m,booster,0
2021-01-18,10-19,NA,atLeastOneDose,0
2021-01-18,10-19,NA,completedBasicImmu,0
2021-01-18,10-19,NA,booster,0
2021-01-18,20-29,d,atLeastOneDose,0
2021-01-18,20-29,d,completedBasicImmu,0
2021-01-18,20-29,d,booster,0
2021-01-18,20-29,f,atLeastOneDose,160
2021-01-18,20-29,f,completedBasicImmu,0
2021-01-18,20-29,f,booster,0
2021-01-18,20-29,m,atLeastOneDose,102
2021-01-18,20-29,m,completedBasicImmu,0
2021-01-18,20-29,m,booster,0
2021-01-18,20-29,NA,atLeastOneDose,0
2021-01-18,20-29,NA,completedBasicImmu,0
2021-01-18,20-29,NA,booster,0
2021-01-18,30-39,d,atLeastOneDose,0
2021-01-18,30-39,d,completedBasicImmu,0
2021-01-18,30-39,d,booster,0
2021-01-18,30-39,f,atLeastOneDose,341
2021-01-18,30-39,f,completedBasicImmu,0
2021-01-18,30-39,f,booster,0
2021-01-18,30-39,m,atLeastOneDose,307
2021-01-18,30-39,m,completedBasicImmu,0
2021-01-18,30-39,m,booster,0
2021-01-18,30-39,NA,atLeastOneDose,0
2021-01-18,30-39,NA,completedBasicImmu,0
