date,vaccgroup_zh,ncumul_firstvacc,ncumul_secondvacc
NA,A,2,0
NA,B,0,0
NA,C,4,1
NA,D,2,0
NA,E,0,0
NA,F,1,0
NA,G,2,1
NA,H,0,0
NA,I,0,0
NA,K,0,0
NA,L,0,0
NA,M,2,0
NA,N,1,0
NA,O,0,0
NA,Q,0,0
NA,R,0,0
NA,S,0,0
NA,T,0,0
NA,NA,0,0
2021-01-04,A,68,0
2021-01-04,B,0,0
2021-01-04,C,8,1
2021-01-04,D,2,0
2021-01-04,E,0,0
2021-01-04,F,1,0
2021-01-04,G,2,1
2021-01-04,H,0,0
2021-01-04,I,0,0
2021-01-04,K,0,0
2021-01-04,L,0,0
2021-01-04,M,9,0
2021-01-04,N,4,0
2021-01-04,O,0,0
2021-01-04,Q,0,0
2021-01-04,R,0,0
2021-01-04,S,0,0
2021-01-04,T,0,0
2021-01-04,NA,0,0
2021-01-05,A,298,0
2021-01-05,B,77,0
2021-01-05,C,80,1
2021-01-05,D,2,0
2021-01-05,E,2,0
2021-01-05,F,2,0
2021-01-05,G,4,1
2021-01-05,H,0,0
2021-01-05,I,0,0
2021-01-05,K,0,0
2021-01-05,L,0,0
2021-01-05,M,15,0
2021-01-05,N,12,0
2021-01-05,O,0,0
2021-01-05,Q,0,0
2021-01-05,R,0,0
2021-01-05,S,0,0
2021-01-05,T,0,0
2021-01-05,NA,0,0
2021-01-06,A,550,0
2021-01-06,B,151,0
2021-01-06,C,139,1
2021-01-06,D,3,0
2021-01-06,E,5,0
2021-01-06,F,5,0
2021-01-06,G,7,1
2021-01-06,H,0,0
2021-01-06,I,0,0
2021-01-06,K,0,0
2021-01-06,L,0,0
2021-01-06,M,21,0
2021-01-06,N,17,0
2021-01-06,O,0,0
2021-01-06,Q,0,0
2021-01-06,R,0,0
2021-01-06,S,0,0
2021-01-06,T,0,0
2021-01-06,NA,0,0
2021-01-07,A,811,0
2021-01-07,B,214,0
2021-01-07,C,199,1
2021-01-07,D,3,0
2021-01-07,E,6,0
2021-01-07,F,5,0
2021-01-07,G,8,1
2021-01-07,H,0,0
2021-01-07,I,0,0
2021-01-07,K,0,0
2021-01-07,L,0,0
2021-01-07,M,30,0
2021-01-07,N,21,0
2021-01-07,O,0,0
2021-01-07,Q,0,0
2021-01-07,R,0,0
2021-01-07,S,0,0
2021-01-07,T,0,0
2021-01-07,NA,0,0
2021-01-08,A,1061,0
2021-01-08,B,265,0
2021-01-08,C,274,1
2021-01-08,D,5,0
2021-01-08,E,7,0
2021-01-08,F,6,0
2021-01-08,G,8,1
2021-01-08,H,0,0
2021-01-08,I,0,0
2021-01-08,K,0,0
2021-01-08,L,0,0
2021-01-08,M,43,0
2021-01-08,N,24,0
2021-01-08,O,0,0
2021-01-08,Q,0,0
2021-01-08,R,0,0
2021-01-08,S,0,0
2021-01-08,T,0,0
2021-01-08,NA,0,0
2021-01-09,A,1234,0
2021-01-09,B,308,0
2021-01-09,C,316,1
2021-01-09,D,7,0
2021-01-09,E,7,0
2021-01-09,F,6,0
2021-01-09,G,13,1
2021-01-09,H,0,0
2021-01-09,I,0,0
2021-01-09,K,0,0
2021-01-09,L,0,0
2021-01-09,M,43,0
2021-01-09,N,24,0
2021-01-09,O,0,0
2021-01-09,Q,0,0
2021-01-09,R,0,0
2021-01-09,S,0,0
2021-01-09,T,0,0
2021-01-09,NA,0,0
2021-01-10,A,1234,0
2021-01-10,B,308,0
2021-01-10,C,316,1
2021-01-10,D,7,0
2021-01-10,E,7,0
2021-01-10,F,6,0
2021-01-10,G,13,1
2021-01-10,H,0,0
2021-01-10,I,0,0
2021-01-10,K,0,0
2021-01-10,L,0,0
2021-01-10,M,43,0
2021-01-10,N,24,0
2021-01-10,O,0,0
2021-01-10,Q,0,0
2021-01-10,R,0,0
2021-01-10,S,0,0
2021-01-10,T,0,0
2021-01-10,NA,0,0
2021-01-11,A,1600,0
2021-01-11,B,374,0
2021-01-11,C,404,1
2021-01-11,D,9,0
2021-01-11,E,10,0
2021-01-11,F,7,0
2021-01-11,G,41,1
2021-01-11,H,0,0
2021-01-11,I,0,0
2021-01-11,K,0,0
2021-01-11,L,0,0
2021-01-11,M,57,0
2021-01-11,N,32,0
2021-01-11,O,0,0
2021-01-11,Q,0,0
2021-01-11,R,0,0
2021-01-11,S,0,0
2021-01-11,T,0,0
2021-01-11,NA,0,0
2021-01-12,A,1968,0
2021-01-12,B,414,0
2021-01-12,C,493,1
2021-01-12,D,14,0
2021-01-12,E,14,0
2021-01-12,F,138,0
2021-01-12,G,42,1
2021-01-12,H,0,0
2021-01-12,I,0,0
2021-01-12,K,0,0
2021-01-12,L,0,0
