week_from,week_until,calendar_week,plz,vacc_status,nCumul,population
2021-01-01,2021-01-24,3,8001,atLeastOneDose,138,5473
2021-01-01,2021-01-24,3,8001,booster,0,5473
2021-01-01,2021-01-24,3,8001,completedBasicImmu,0,5473
2021-01-01,2021-01-24,3,8002,atLeastOneDose,191,9620
2021-01-01,2021-01-24,3,8002,booster,0,9620
2021-01-01,2021-01-24,3,8002,completedBasicImmu,0,9620
2021-01-01,2021-01-24,3,8003,atLeastOneDose,268,20655
2021-01-01,2021-01-24,3,8003,booster,0,20655
2021-01-01,2021-01-24,3,8003,completedBasicImmu,0,20655
2021-01-01,2021-01-24,3,8004,atLeastOneDose,293,27183
2021-01-01,2021-01-24,3,8004,booster,0,27183
2021-01-01,2021-01-24,3,8004,completedBasicImmu,0,27183
2021-01-01,2021-01-24,3,8005,atLeastOneDose,166,15505
2021-01-01,2021-01-24,3,8005,booster,0,15505
2021-01-01,2021-01-24,3,8005,completedBasicImmu,0,15505
2021-01-01,2021-01-24,3,8006,atLeastOneDose,482,18387
2021-01-01,2021-01-24,3,8006,booster,0,18387
2021-01-01,2021-01-24,3,8006,completedBasicImmu,0,18387
2021-01-01,2021-01-24,3,8008,atLeastOneDose,433,16571
2021-01-01,2021-01-24,3,8008,booster,0,16571
2021-01-01,2021-01-24,3,8008,completedBasicImmu,0,16571
2021-01-01,2021-01-24,3,8032,atLeastOneDose,540,18170
2021-01-01,2021-01-24,3,8032,booster,0,18170
2021-01-01,2021-01-24,3,8032,completedBasicImmu,0,18170
2021-01-01,2021-01-24,3,8037,atLeastOneDose,240,16044
2021-01-01,2021-01-24,3,8037,booster,0,16044
2021-01-01,2021-01-24,3,8037,completedBasicImmu,0,16044
2021-01-01,2021-01-24,3,8038,atLeastOneDose,508,17299
2021-01-01,2021-01-24,3,8038,booster,0,17299
2021-01-01,2021-01-24,3,8038,completedBasicImmu,0,17299
2021-01-01,2021-01-24,3,8041,atLeastOneDose,130,7620
2021-01-01,2021-01-24,3,8041,booster,0,7620
2021-01-01,2021-01-24,3,8041,completedBasicImmu,0,7620
2021-01-01,2021-01-24,3,8044,atLeastOneDose,401,10947
2021-01-01,2021-01-24,3,8044,booster,0,10947
2021-01-01,2021-01-24,3,8044,completedBasicImmu,0,10947
2021-01-01,2021-01-24,3,8045,atLeastOneDose,219,11222
2021-01-01,2021-01-24,3,8045,booster,0,11222
2021-01-01,2021-01-24,3,8045,completedBasicImmu,0,11222
2021-01-01,2021-01-24,3,8046,atLeastOneDose,268,25704
2021-01-01,2021-01-24,3,8046,booster,0,25704
2021-01-01,2021-01-24,3,8046,completedBasicImmu,0,25704
2021-01-01,2021-01-24,3,8047,atLeastOneDose,351,20783
2021-01-01,2021-01-24,3,8047,booster,0,20783
2021-01-01,2021-01-24,3,8047,completedBasicImmu,0,20783
2021-01-01,2021-01-24,3,8048,atLeastOneDose,524,29694
2021-01-01,2021-01-24,3,8048,booster,0,29694
2021-01-01,2021-01-24,3,8048,completedBasicImmu,0,29694
2021-01-01,2021-01-24,3,8049,atLeastOneDose,439,23561
2021-01-01,2021-01-24,3,8049,booster,0,23561
2021-01-01,2021-01-24,3,8049,completedBasicImmu,0,23561
2021-01-01,2021-01-24,3,8050,atLeastOneDose,319,28957
2021-01-01,2021-01-24,3,8050,booster,0,28957
2021-01-01,2021-01-24,3,8050,completedBasicImmu,0,28957
2021-01-01,2021-01-24,3,8051,atLeastOneDose,385,23000
2021-01-01,2021-01-24,3,8051,booster,0,23000
2021-01-01,2021-01-24,3,8051,completedBasicImmu,0,23000
2021-01-01,2021-01-24,3,8052,atLeastOneDose,249,20277
2021-01-01,2021-01-24,3,8052,booster,0,20277
2021-01-01,2021-01-24,3,8052,completedBasicImmu,0,20277
2021-01-01,2021-01-24,3,8053,atLeastOneDose,345,11001
2021-01-01,2021-01-24,3,8053,booster,0,11001
2021-01-01,2021-01-24,3,8053,completedBasicImmu,0,11001
2021-01-01,2021-01-24,3,8055,atLeastOneDose,338,20196
2021-01-01,2021-01-24,3,8055,booster,0,20196
2021-01-01,2021-01-24,3,8055,completedBasicImmu,0,20196
2021-01-01,2021-01-24,3,8057,atLeastOneDose,357,21221
2021-01-01,2021-01-24,3,8057,booster,0,21221
