week_from,week_until,calendar_week,bfsNumber,residence,vacc_status,nCumul
2021-01-01,2021-01-24,3,101,Bezirk Affoltern,atLeastOneDose,764
2021-01-01,2021-01-24,3,101,Bezirk Affoltern,completedBasicImmu,0
2021-01-01,2021-01-24,3,101,Bezirk Affoltern,booster,0
2021-01-01,2021-01-24,3,102,Bezirk Andelfingen,atLeastOneDose,574
2021-01-01,2021-01-24,3,102,Bezirk Andelfingen,completedBasicImmu,0
2021-01-01,2021-01-24,3,102,Bezirk Andelfingen,booster,0
2021-01-01,2021-01-24,3,103,Bezirk Bulach,atLeastOneDose,2278
2021-01-01,2021-01-24,3,103,Bezirk Bulach,completedBasicImmu,0
2021-01-01,2021-01-24,3,103,Bezirk Bulach,booster,0
2021-01-01,2021-01-24,3,104,Bezirk Dielsdorf,atLeastOneDose,1076
2021-01-01,2021-01-24,3,104,Bezirk Dielsdorf,completedBasicImmu,0
2021-01-01,2021-01-24,3,104,Bezirk Dielsdorf,booster,0
2021-01-01,2021-01-24,3,105,Bezirk Hinwil,atLeastOneDose,870
2021-01-01,2021-01-24,3,105,Bezirk Hinwil,completedBasicImmu,0
2021-01-01,2021-01-24,3,105,Bezirk Hinwil,booster,0
2021-01-01,2021-01-24,3,106,Bezirk Horgen,atLeastOneDose,1848
2021-01-01,2021-01-24,3,106,Bezirk Horgen,completedBasicImmu,0
2021-01-01,2021-01-24,3,106,Bezirk Horgen,booster,0
2021-01-01,2021-01-24,3,107,Bezirk Meilen,atLeastOneDose,2471
2021-01-01,2021-01-24,3,107,Bezirk Meilen,completedBasicImmu,0
2021-01-01,2021-01-24,3,107,Bezirk Meilen,booster,0
2021-01-01,2021-01-24,3,108,Bezirk Pfaffikon,atLeastOneDose,754
2021-01-01,2021-01-24,3,108,Bezirk Pfaffikon,completedBasicImmu,0
2021-01-01,2021-01-24,3,108,Bezirk Pfaffikon,booster,0
2021-01-01,2021-01-24,3,109,Bezirk Uster,atLeastOneDose,1946
2021-01-01,2021-01-24,3,109,Bezirk Uster,completedBasicImmu,0
2021-01-01,2021-01-24,3,109,Bezirk Uster,booster,0
2021-01-01,2021-01-24,3,110,Bezirk Winterthur,atLeastOneDose,2658
2021-01-01,2021-01-24,3,110,Bezirk Winterthur,completedBasicImmu,0
2021-01-01,2021-01-24,3,110,Bezirk Winterthur,booster,0
2021-01-01,2021-01-24,3,111,Bezirk Dietikon,atLeastOneDose,1230
2021-01-01,2021-01-24,3,111,Bezirk Dietikon,completedBasicImmu,0
2021-01-01,2021-01-24,3,111,Bezirk Dietikon,booster,0
2021-01-01,2021-01-24,3,112,Bezirk Zurich,atLeastOneDose,7534
2021-01-01,2021-01-24,3,112,Bezirk Zurich,completedBasicImmu,0
2021-01-01,2021-01-24,3,112,Bezirk Zurich,booster,0
2021-01-01,2021-01-24,3,NA,andere Kantone,atLeastOneDose,352
2021-01-01,2021-01-24,3,NA,andere Kantone,completedBasicImmu,0
2021-01-01,2021-01-24,3,NA,andere Kantone,booster,0
2021-01-01,2021-01-24,3,NA,Nachbarkantone,atLeastOneDose,1361
2021-01-01,2021-01-24,3,NA,Nachbarkantone,completedBasicImmu,0
2021-01-01,2021-01-24,3,NA,Nachbarkantone,booster,0
2021-01-01,2021-01-24,3,NA,unbekannt,atLeastOneDose,198
2021-01-01,2021-01-24,3,NA,unbekannt,completedBasicImmu,0
2021-01-01,2021-01-24,3,NA,unbekannt,booster,0
2021-01-01,2021-01-24,3,NA,ZH aber ausserkantonal geimpft,atLeastOneDose,26
2021-01-01,2021-01-24,3,NA,ZH aber ausserkantonal geimpft,completedBasicImmu,96
2021-01-01,2021-01-24,3,NA,ZH aber ausserkantonal geimpft,booster,0
2021-01-25,2021-01-31,4,101,Bezirk Affoltern,atLeastOneDose,1596
2021-01-25,2021-01-31,4,101,Bezirk Affoltern,completedBasicImmu,28
2021-01-25,2021-01-31,4,101,Bezirk Affoltern,booster,0
2021-01-25,2021-01-31,4,102,Bezirk Andelfingen,atLeastOneDose,1442
2021-01-25,2021-01-31,4,102,Bezirk Andelfingen,completedBasicImmu,0
2021-01-25,2021-01-31,4,102,Bezirk Andelfingen,booster,0
2021-01-25,2021-01-31,4,103,Bezirk Bulach,atLeastOneDose,4249
2021-01-25,2021-01-31,4,103,Bezirk Bulach,completedBasicImmu,74
2021-01-25,2021-01-31,4,103,Bezirk Bulach,booster,0
2021-01-25,2021-01-31,4,104,Bezirk Dielsdorf,atLeastOneDose,2017
2021-01-25,2021-01-31,4,104,Bezirk Dielsdorf,completedBasicImmu,41
2021-01-25,2021-01-31,4,104,Bezirk Dielsdorf,booster,0
2021-01-25,2021-01-31,4,105,Bezirk Hinwil,atLeastOneDose,2305
2021-01-25,2021-01-31,4,105,Bezirk Hinwil,completedBasicImmu,21
2021-01-25,2021-01-31,4,105,Bezirk Hinwil,booster,0
2021-01-25,2021-01-31,4,106,Bezirk Horgen,atLeastOneDose,3067
2021-01-25,2021-01-31,4,106,Bezirk Horgen,completedBasicImmu,86
2021-01-25,2021-01-31,4,106,Bezirk Horgen,booster,0
2021-01-25,2021-01-31,4,107,Bezirk Meilen,atLeastOneDose,3942
2021-01-25,2021-01-31,4,107,Bezirk Meilen,completedBasicImmu,141
2021-01-25,2021-01-31,4,107,Bezirk Meilen,booster,0
2021-01-25,2021-01-31,4,108,Bezirk Pfaffikon,atLeastOneDose,1532
2021-01-25,2021-01-31,4,108,Bezirk Pfaffikon,completedBasicImmu,21
2021-01-25,2021-01-31,4,108,Bezirk Pfaffikon,booster,0
2021-01-25,2021-01-31,4,109,Bezirk Uster,atLeastOneDose,3504
2021-01-25,2021-01-31,4,109,Bezirk Uster,completedBasicImmu,97
2021-01-25,2021-01-31,4,109,Bezirk Uster,booster,0
2021-01-25,2021-01-31,4,110,Bezirk Winterthur,atLeastOneDose,5069
2021-01-25,2021-01-31,4,110,Bezirk Winterthur,completedBasicImmu,40
2021-01-25,2021-01-31,4,110,Bezirk Winterthur,booster,0
2021-01-25,2021-01-31,4,111,Bezirk Dietikon,atLeastOneDose,2011
2021-01-25,2021-01-31,4,111,Bezirk Dietikon,completedBasicImmu,43
2021-01-25,2021-01-31,4,111,Bezirk Dietikon,booster,0
2021-01-25,2021-01-31,4,112,Bezirk Zurich,atLeastOneDose,14092
2021-01-25,2021-01-31,4,112,Bezirk Zurich,completedBasicImmu,368
2021-01-25,2021-01-31,4,112,Bezirk Zurich,booster,0
2021-01-25,2021-01-31,4,NA,andere Kantone,atLeastOneDose,514
2021-01-25,2021-01-31,4,NA,andere Kantone,completedBasicImmu,57
2021-01-25,2021-01-31,4,NA,andere Kantone,booster,0
2021-01-25,2021-01-31,4,NA,Nachbarkantone,atLeastOneDose,2183
2021-01-25,2021-01-31,4,NA,Nachbarkantone,completedBasicImmu,147
2021-01-25,2021-01-31,4,NA,Nachbarkantone,booster,0
2021-01-25,2021-01-31,4,NA,unbekannt,atLeastOneDose,462
2021-01-25,2021-01-31,4,NA,unbekannt,completedBasicImmu,0
2021-01-25,2021-01-31,4,NA,unbekannt,booster,0
2021-01-25,2021-01-31,4,NA,ZH aber ausserkantonal geimpft,atLeastOneDose,39
2021-01-25,2021-01-31,4,NA,ZH aber ausserkantonal geimpft,completedBasicImmu,215
2021-01-25,2021-01-31,4,NA,ZH aber ausserkantonal geimpft,booster,0
2021-02-01,2021-02-07,5,101,Bezirk Affoltern,atLeastOneDose,1949
2021-02-01,2021-02-07,5,101,Bezirk Affoltern,completedBasicImmu,73
2021-02-01,2021-02-07,5,101,Bezirk Affoltern,booster,0
2021-02-01,2021-02-07,5,102,Bezirk Andelfingen,atLeastOneDose,1596
2021-02-01,2021-02-07,5,102,Bezirk Andelfingen,completedBasicImmu,20
2021-02-01,2021-02-07,5,102,Bezirk Andelfingen,booster,0
2021-02-01,2021-02-07,5,103,Bezirk Bulach,atLeastOneDose,4825
2021-02-01,2021-02-07,5,103,Bezirk Bulach,completedBasicImmu,180
2021-02-01,2021-02-07,5,103,Bezirk Bulach,booster,0
2021-02-01,2021-02-07,5,104,Bezirk Dielsdorf,atLeastOneDose,2542
2021-02-01,2021-02-07,5,104,Bezirk Dielsdorf,completedBasicImmu,98
2021-02-01,2021-02-07,5,104,Bezirk Dielsdorf,booster,0
2021-02-01,2021-02-07,5,105,Bezirk Hinwil,atLeastOneDose,3298
2021-02-01,2021-02-07,5,105,Bezirk Hinwil,completedBasicImmu,71
2021-02-01,2021-02-07,5,105,Bezirk Hinwil,booster,0
2021-02-01,2021-02-07,5,106,Bezirk Horgen,atLeastOneDose,4150
2021-02-01,2021-02-07,5,106,Bezirk Horgen,completedBasicImmu,246
2021-02-01,2021-02-07,5,106,Bezirk Horgen,booster,0
2021-02-01,2021-02-07,5,107,Bezirk Meilen,atLeastOneDose,5115
2021-02-01,2021-02-07,5,107,Bezirk Meilen,completedBasicImmu,318
2021-02-01,2021-02-07,5,107,Bezirk Meilen,booster,0
2021-02-01,2021-02-07,5,108,Bezirk Pfaffikon,atLeastOneDose,1999
2021-02-01,2021-02-07,5,108,Bezirk Pfaffikon,completedBasicImmu,63
2021-02-01,2021-02-07,5,108,Bezirk Pfaffikon,booster,0
2021-02-01,2021-02-07,5,109,Bezirk Uster,atLeastOneDose,4404
2021-02-01,2021-02-07,5,109,Bezirk Uster,completedBasicImmu,230
2021-02-01,2021-02-07,5,109,Bezirk Uster,booster,0
2021-02-01,2021-02-07,5,110,Bezirk Winterthur,atLeastOneDose,6114
2021-02-01,2021-02-07,5,110,Bezirk Winterthur,completedBasicImmu,89
2021-02-01,2021-02-07,5,110,Bezirk Winterthur,booster,0
2021-02-01,2021-02-07,5,111,Bezirk Dietikon,atLeastOneDose,2792
2021-02-01,2021-02-07,5,111,Bezirk Dietikon,completedBasicImmu,119
2021-02-01,2021-02-07,5,111,Bezirk Dietikon,booster,0
2021-02-01,2021-02-07,5,112,Bezirk Zurich,atLeastOneDose,16638
2021-02-01,2021-02-07,5,112,Bezirk Zurich,completedBasicImmu,953
2021-02-01,2021-02-07,5,112,Bezirk Zurich,booster,0
2021-02-01,2021-02-07,5,NA,andere Kantone,atLeastOneDose,575
2021-02-01,2021-02-07,5,NA,andere Kantone,completedBasicImmu,93
2021-02-01,2021-02-07,5,NA,andere Kantone,booster,0
2021-02-01,2021-02-07,5,NA,Nachbarkantone,atLeastOneDose,2552
2021-02-01,2021-02-07,5,NA,Nachbarkantone,completedBasicImmu,246
2021-02-01,2021-02-07,5,NA,Nachbarkantone,booster,0
2021-02-01,2021-02-07,5,NA,unbekannt,atLeastOneDose,495
2021-02-01,2021-02-07,5,NA,unbekannt,completedBasicImmu,54
2021-02-01,2021-02-07,5,NA,unbekannt,booster,0
2021-02-01,2021-02-07,5,NA,ZH aber ausserkantonal geimpft,atLeastOneDose,45
2021-02-01,2021-02-07,5,NA,ZH aber ausserkantonal geimpft,completedBasicImmu,318
2021-02-01,2021-02-07,5,NA,ZH aber ausserkantonal geimpft,booster,0
2021-02-08,2021-02-14,6,101,Bezirk Affoltern,atLeastOneDose,2335
2021-02-08,2021-02-14,6,101,Bezirk Affoltern,completedBasicImmu,272
2021-02-08,2021-02-14,6,101,Bezirk Affoltern,booster,0
2021-02-08,2021-02-14,6,102,Bezirk Andelfingen,atLeastOneDose,1820
2021-02-08,2021-02-14,6,102,Bezirk Andelfingen,completedBasicImmu,72
2021-02-08,2021-02-14,6,102,Bezirk Andelfingen,booster,0
2021-02-08,2021-02-14,6,103,Bezirk Bulach,atLeastOneDose,5670
2021-02-08,2021-02-14,6,103,Bezirk Bulach,completedBasicImmu,548
2021-02-08,2021-02-14,6,103,Bezirk Bulach,booster,0
2021-02-08,2021-02-14,6,104,Bezirk Dielsdorf,atLeastOneDose,3428
2021-02-08,2021-02-14,6,104,Bezirk Dielsdorf,completedBasicImmu,338
2021-02-08,2021-02-14,6,104,Bezirk Dielsdorf,booster,0
2021-02-08,2021-02-14,6,105,Bezirk Hinwil,atLeastOneDose,4733
2021-02-08,2021-02-14,6,105,Bezirk Hinwil,completedBasicImmu,306
2021-02-08,2021-02-14,6,105,Bezirk Hinwil,booster,0
2021-02-08,2021-02-14,6,106,Bezirk Horgen,atLeastOneDose,5806
2021-02-08,2021-02-14,6,106,Bezirk Horgen,completedBasicImmu,689
2021-02-08,2021-02-14,6,106,Bezirk Horgen,booster,0
2021-02-08,2021-02-14,6,107,Bezirk Meilen,atLeastOneDose,7269
2021-02-08,2021-02-14,6,107,Bezirk Meilen,completedBasicImmu,909
2021-02-08,2021-02-14,6,107,Bezirk Meilen,booster,0
2021-02-08,2021-02-14,6,108,Bezirk Pfaffikon,atLeastOneDose,2814
2021-02-08,2021-02-14,6,108,Bezirk Pfaffikon,completedBasicImmu,201
2021-02-08,2021-02-14,6,108,Bezirk Pfaffikon,booster,0
2021-02-08,2021-02-14,6,109,Bezirk Uster,atLeastOneDose,6623
2021-02-08,2021-02-14,6,109,Bezirk Uster,completedBasicImmu,741
2021-02-08,2021-02-14,6,109,Bezirk Uster,booster,0
2021-02-08,2021-02-14,6,110,Bezirk Winterthur,atLeastOneDose,8813
2021-02-08,2021-02-14,6,110,Bezirk Winterthur,completedBasicImmu,517
2021-02-08,2021-02-14,6,110,Bezirk Winterthur,booster,0
2021-02-08,2021-02-14,6,111,Bezirk Dietikon,atLeastOneDose,3776
2021-02-08,2021-02-14,6,111,Bezirk Dietikon,completedBasicImmu,499
2021-02-08,2021-02-14,6,111,Bezirk Dietikon,booster,0
2021-02-08,2021-02-14,6,112,Bezirk Zurich,atLeastOneDose,21993
2021-02-08,2021-02-14,6,112,Bezirk Zurich,completedBasicImmu,3582
2021-02-08,2021-02-14,6,112,Bezirk Zurich,booster,0
2021-02-08,2021-02-14,6,NA,andere Kantone,atLeastOneDose,707
2021-02-08,2021-02-14,6,NA,andere Kantone,completedBasicImmu,251
2021-02-08,2021-02-14,6,NA,andere Kantone,booster,0
2021-02-08,2021-02-14,6,NA,Nachbarkantone,atLeastOneDose,3480
2021-02-08,2021-02-14,6,NA,Nachbarkantone,completedBasicImmu,795
2021-02-08,2021-02-14,6,NA,Nachbarkantone,booster,0
2021-02-08,2021-02-14,6,NA,unbekannt,atLeastOneDose,588
2021-02-08,2021-02-14,6,NA,unbekannt,completedBasicImmu,126
2021-02-08,2021-02-14,6,NA,unbekannt,booster,0
2021-02-08,2021-02-14,6,NA,ZH aber ausserkantonal geimpft,atLeastOneDose,51
2021-02-08,2021-02-14,6,NA,ZH aber ausserkantonal geimpft,completedBasicImmu,558
2021-02-08,2021-02-14,6,NA,ZH aber ausserkantonal geimpft,booster,0
2021-02-15,2021-02-21,7,101,Bezirk Affoltern,atLeastOneDose,2531
2021-02-15,2021-02-21,7,101,Bezirk Affoltern,completedBasicImmu,638
2021-02-15,2021-02-21,7,101,Bezirk Affoltern,booster,0
2021-02-15,2021-02-21,7,102,Bezirk Andelfingen,atLeastOneDose,1901
2021-02-15,2021-02-21,7,102,Bezirk Andelfingen,completedBasicImmu,472
2021-02-15,2021-02-21,7,102,Bezirk Andelfingen,booster,0
2021-02-15,2021-02-21,7,103,Bezirk Bulach,atLeastOneDose,6409
2021-02-15,2021-02-21,7,103,Bezirk Bulach,completedBasicImmu,1502
2021-02-15,2021-02-21,7,103,Bezirk Bulach,booster,0
2021-02-15,2021-02-21,7,104,Bezirk Dielsdorf,atLeastOneDose,3726
2021-02-15,2021-02-21,7,104,Bezirk Dielsdorf,completedBasicImmu,848
2021-02-15,2021-02-21,7,104,Bezirk Dielsdorf,booster,0
2021-02-15,2021-02-21,7,105,Bezirk Hinwil,atLeastOneDose,5119
2021-02-15,2021-02-21,7,105,Bezirk Hinwil,completedBasicImmu,698
2021-02-15,2021-02-21,7,105,Bezirk Hinwil,booster,0
2021-02-15,2021-02-21,7,106,Bezirk Horgen,atLeastOneDose,6322
2021-02-15,2021-02-21,7,106,Bezirk Horgen,completedBasicImmu,1726
2021-02-15,2021-02-21,7,106,Bezirk Horgen,booster,0
2021-02-15,2021-02-21,7,107,Bezirk Meilen,atLeastOneDose,7596
2021-02-15,2021-02-21,7,107,Bezirk Meilen,completedBasicImmu,2177
2021-02-15,2021-02-21,7,107,Bezirk Meilen,booster,0
2021-02-15,2021-02-21,7,108,Bezirk Pfaffikon,atLeastOneDose,2883
2021-02-15,2021-02-21,7,108,Bezirk Pfaffikon,completedBasicImmu,673
2021-02-15,2021-02-21,7,108,Bezirk Pfaffikon,booster,0
2021-02-15,2021-02-21,7,109,Bezirk Uster,atLeastOneDose,6920
2021-02-15,2021-02-21,7,109,Bezirk Uster,completedBasicImmu,1727
2021-02-15,2021-02-21,7,109,Bezirk Uster,booster,0
2021-02-15,2021-02-21,7,110,Bezirk Winterthur,atLeastOneDose,9173
2021-02-15,2021-02-21,7,110,Bezirk Winterthur,completedBasicImmu,2025
2021-02-15,2021-02-21,7,110,Bezirk Winterthur,booster,0
2021-02-15,2021-02-21,7,111,Bezirk Dietikon,atLeastOneDose,4146
2021-02-15,2021-02-21,7,111,Bezirk Dietikon,completedBasicImmu,1060
2021-02-15,2021-02-21,7,111,Bezirk Dietikon,booster,0
2021-02-15,2021-02-21,7,112,Bezirk Zurich,atLeastOneDose,23331
2021-02-15,2021-02-21,7,112,Bezirk Zurich,completedBasicImmu,6675
2021-02-15,2021-02-21,7,112,Bezirk Zurich,booster,0
2021-02-15,2021-02-21,7,NA,andere Kantone,atLeastOneDose,739
2021-02-15,2021-02-21,7,NA,andere Kantone,completedBasicImmu,338
2021-02-15,2021-02-21,7,NA,andere Kantone,booster,0
2021-02-15,2021-02-21,7,NA,Nachbarkantone,atLeastOneDose,3758
2021-02-15,2021-02-21,7,NA,Nachbarkantone,completedBasicImmu,1179
2021-02-15,2021-02-21,7,NA,Nachbarkantone,booster,0
2021-02-15,2021-02-21,7,NA,unbekannt,atLeastOneDose,626
2021-02-15,2021-02-21,7,NA,unbekannt,completedBasicImmu,177
2021-02-15,2021-02-21,7,NA,unbekannt,booster,0
2021-02-15,2021-02-21,7,NA,ZH aber ausserkantonal geimpft,atLeastOneDose,54
2021-02-15,2021-02-21,7,NA,ZH aber ausserkantonal geimpft,completedBasicImmu,949
2021-02-15,2021-02-21,7,NA,ZH aber ausserkantonal geimpft,booster,0
2021-02-22,2021-02-28,8,101,Bezirk Affoltern,atLeastOneDose,2633
2021-02-22,2021-02-28,8,101,Bezirk Affoltern,completedBasicImmu,1188
2021-02-22,2021-02-28,8,101,Bezirk Affoltern,booster,0
2021-02-22,2021-02-28,8,102,Bezirk Andelfingen,atLeastOneDose,1929
2021-02-22,2021-02-28,8,102,Bezirk Andelfingen,completedBasicImmu,964
2021-02-22,2021-02-28,8,102,Bezirk Andelfingen,booster,0
2021-02-22,2021-02-28,8,103,Bezirk Bulach,atLeastOneDose,6623
