date,ageclass,gender,ncumul_registered,ncumul_firstvacc,ncumul_secondvacc
NA,0-9,d,0,0,0
NA,0-9,f,13,0,0
NA,0-9,m,4,0,0
NA,10-19,d,1,0,0
NA,10-19,f,662,0,0
NA,10-19,m,300,0,0
NA,20-29,d,1,0,0
NA,20-29,f,5401,0,0
NA,20-29,m,2745,0,0
NA,30-39,d,4,0,0
NA,30-39,f,7966,1,0
NA,30-39,m,5263,0,0
NA,40-49,d,8,0,0
NA,40-49,f,10285,1,0
NA,40-49,m,7102,1,0
NA,50-59,d,9,0,0
NA,50-59,f,15381,3,1
NA,50-59,m,12312,1,0
NA,60-69,d,13,0,0
NA,60-69,f,17226,2,1
NA,60-69,m,15433,2,0
NA,70-79,d,25,0,0
NA,70-79,f,25716,0,0
NA,70-79,m,22845,1,0
NA,80+,d,15,0,0
NA,80+,f,32638,2,0
NA,80+,m,22835,0,0
NA,NA,d,0,0,0
NA,NA,f,32,0,0
NA,NA,m,15,0,0
2021-01-04,0-9,d,0,0,0
2021-01-04,0-9,f,13,0,0
2021-01-04,0-9,m,4,0,0
2021-01-04,10-19,d,1,0,0
2021-01-04,10-19,f,662,0,0
2021-01-04,10-19,m,300,0,0
2021-01-04,20-29,d,1,0,0
2021-01-04,20-29,f,5401,0,0
2021-01-04,20-29,m,2745,1,0
2021-01-04,30-39,d,4,0,0
2021-01-04,30-39,f,7966,1,0
2021-01-04,30-39,m,5263,0,0
2021-01-04,40-49,d,8,0,0
2021-01-04,40-49,f,10285,2,0
2021-01-04,40-49,m,7102,2,0
2021-01-04,50-59,d,9,0,0
2021-01-04,50-59,f,15381,7,1
2021-01-04,50-59,m,12312,1,0
2021-01-04,60-69,d,13,0,0
2021-01-04,60-69,f,17226,5,1
2021-01-04,60-69,m,15433,5,0
2021-01-04,70-79,d,25,0,0
2021-01-04,70-79,f,25716,3,0
2021-01-04,70-79,m,22845,4,0
2021-01-04,80+,d,15,0,0
2021-01-04,80+,f,32638,34,0
2021-01-04,80+,m,22835,29,0
2021-01-04,NA,d,0,0,0
2021-01-04,NA,f,32,0,0
2021-01-04,NA,m,15,0,0
2021-01-05,0-9,d,0,0,0
2021-01-05,0-9,f,13,0,0
2021-01-05,0-9,m,4,0,0
2021-01-05,10-19,d,1,0,0
2021-01-05,10-19,f,662,2,0
2021-01-05,10-19,m,300,0,0
2021-01-05,20-29,d,1,0,0
2021-01-05,20-29,f,5401,1,0
2021-01-05,20-29,m,2745,4,0
2021-01-05,30-39,d,4,0,0
2021-01-05,30-39,f,7966,8,0
2021-01-05,30-39,m,5263,9,0
2021-01-05,40-49,d,8,0,0
2021-01-05,40-49,f,10285,15,0
2021-01-05,40-49,m,7102,14,0
2021-01-05,50-59,d,9,0,0
2021-01-05,50-59,f,15381,15,1
2021-01-05,50-59,m,12312,16,0
2021-01-05,60-69,d,13,0,0
2021-01-05,60-69,f,17226,26,1
2021-01-05,60-69,m,15433,44,0
2021-01-05,70-79,d,25,0,0
2021-01-05,70-79,f,25716,30,0
2021-01-05,70-79,m,22845,68,0
2021-01-05,80+,d,15,0,0
2021-01-05,80+,f,32638,114,0
2021-01-05,80+,m,22835,126,0
2021-01-05,NA,d,0,0,0
2021-01-05,NA,f,32,0,0
2021-01-05,NA,m,15,0,0
2021-01-06,0-9,d,0,0,0
2021-01-06,0-9,f,13,0,0
2021-01-06,0-9,m,4,0,0
2021-01-06,10-19,d,1,0,0
2021-01-06,10-19,f,662,2,0
2021-01-06,10-19,m,300,0,0
2021-01-06,20-29,d,1,0,0
2021-01-06,20-29,f,5401,3,0
2021-01-06,20-29,m,2745,11,0
2021-01-06,30-39,d,4,0,0
2021-01-06,30-39,f,7966,13,0
2021-01-06,30-39,m,5263,17,0
2021-01-06,40-49,d,8,0,0
2021-01-06,40-49,f,10285,28,0
2021-01-06,40-49,m,7102,22,0
2021-01-06,50-59,d,9,0,0
2021-01-06,50-59,f,15381,22,1
2021-01-06,50-59,m,12312,40,0
2021-01-06,60-69,d,13,0,0
2021-01-06,60-69,f,17226,47,1
2021-01-06,60-69,m,15433,68,0
2021-01-06,70-79,d,25,0,0
2021-01-06,70-79,f,25716,67,0
2021-01-06,70-79,m,22845,128,0
2021-01-06,80+,d,15,0,0
2021-01-06,80+,f,32638,211,0
2021-01-06,80+,m,22835,219,0
2021-01-06,NA,d,0,0,0
2021-01-06,NA,f,32,0,0
2021-01-06,NA,m,15,0,0
2021-01-07,0-9,d,0,0,0
2021-01-07,0-9,f,13,0,0
2021-01-07,0-9,m,4,0,0
2021-01-07,10-19,d,1,0,0
2021-01-07,10-19,f,662,2,0
2021-01-07,10-19,m,300,0,0
2021-01-07,20-29,d,1,0,0
2021-01-07,20-29,f,5401,6,0
2021-01-07,20-29,m,2745,11,0
2021-01-07,30-39,d,4,0,0
2021-01-07,30-39,f,7966,21,0
2021-01-07,30-39,m,5263,22,0
